Diva_org_id,Unit_abbr,level,unit_en,unit_sv,is_closed
5850,A,1,School of Architecture and the Built Environment (ABE),Skolan för arkitektur och samhällsbyggnad (ABE),0
5851,AD,2,Architecture,Arkitektur,0
876913,ADF,3,Lighting Design,Ljusdesign,0
5860,AFB,3,Building Materials,Byggnadsmaterial,0
5857,AF,2,Civil and Architectural Engineering,Byggvetenskap,0
10153,AFE,3,Structural Engineering and Bridges,Bro- och stålbyggnad,0
5861,AFF,3,Concrete Structures,Betongbyggnad,0
5864,AFH,3,Soil and Rock Mechanics,Jord- och bergmekanik,0
5867,AFK,3,Building Technology and Design,Byggteknik och design,0
879750,AFN,3,Civil and Architectural Engineering Laboratory,Byggvetenskapslaboratorium,0
881700,AFP,3,Transport planning,Transportplanering,0
881151,AFT,3,Sustainable Buildings,Hållbara byggnader,0
5885,AGB,3,Urban and Regional Studies,Urbana och regionala studier,0
879656,AGC,3,Geodesy and Satellite Positioning,Geodesi och satellitpositionering,0
872751,AGF,3,Geoinformatics,Geoinformatik,0
5884,AG,2,Urban Planning and Environment,Samhällsplanering och miljö,0
885102,AGI,3,Transport and Systems Analysis,Transport och systemanalys,0
882950,AIB,3,Real Estate Economics and Finance,Fastighetsekonomi och finans,0
5869,AI,2,Real Estate and Construction Management,Fastigheter och byggande,0
5871,AIC,3,Real Estate Planning and Land Law,Fastighetsvetenskap,0
882952,AID,3,Construction and Facilities Management,Ledning och organisering i byggande och förvaltning,0
882951,AIE,3,Real Estate Business and Financial Systems,Fastighetsföretagande och finansiella system,0
879656,AIG,3,Geodesy and Satellite Positioning,Geodesi och satellitpositionering,0
875600,AK,2,Philosophy and History,Filosofi och historia,0
886500,AKB,3,Philosophy,Filosofi,0
886501,AKC,3,"History of Science, Technology and Environment","Historiska studier av teknik, vetenskap och miljö",0
13604,AL,2,"Sustainable development, Environmental science and Engineering","Hållbar utveckling, miljövetenskap och teknik",0
878258,ALF,3,Sustainability and Environmental Engineering,Hållbarhet och miljöteknik,0
878259,ALG,3,Sustainability Assessment and Management,"Hållbarhet, utvärdering och styrning",0
878260,ALH,3,Strategic Sustainability Studies,Strategiska hållbarhetsstudier,0
878261,ALI,3,Water and Environmental Engineering,Vatten- och miljöteknik,0
878262,ALK,3,"Resources, Energy and Infrastructure","Resurser, energi och infrastruktur",0
879224,C,1,"School of Engineering Sciences in Chemistry, Biotechnology and Health (CBH)","Skolan för kemi, bioteknologi och hälsa (CBH)",0
879308,CD,2,Biomedical Engineering and Health Systems,Medicinteknik och hälsosystem,0
879317,CDD,3,Environmental Physiology,Omgivningsfysiologi,0
879318,CDE,3,Neuronic Engineering,Neuronik,0
879319,CDF,3,Structural Biotechnology,Strukturell bioteknik,0
879320,CDG,3,Medical Imaging,Medicinsk avbildning,0
880401,CDH,3,Health Informatics and Logistics,Hälsoinformatik och logistik,0
879322,CDI,3,Ergonomics,Ergonomi,0
879323,CDJ,3,Basic Science,Grundläggande naturvetenskap,0
880403,CDK,3,Technology in Health Care,Teknisk vårdvetenskap,0
879324,CED,3,Organic chemistry,Organisk kemi,0
879316,CE,2,Chemistry,Kemi,0
879325,CEE,3,Surface and Corrosion Science,Yt- och korrosionsvetenskap,0
879359,CEF,3,Applied Physical Chemistry,Tillämpad fysikalisk kemi,0
879326,CEG,3,Glycoscience,Glykovetenskap,0
879314,CF,2,Chemical Engineering,Kemiteknik,0
879328,CFD,3,Energy Processes,Energiprocesser,0
879331,CFF,3,Resource recovery,Resursåtervinning,0
879332,CFG,3,Applied Electrochemistry,Tillämpad elektrokemi,0
879334,CFJ,3,Process Technology,Processteknologi,0
879315,CG,2,Fibre- and Polymer Technology,Fiber- och polymerteknologi,0
879335,CGC,3,Wallenberg Wood Science Center,Wallenberg Wood Science Center,0
879336,CGD,3,Polymer Technology,Polymerteknologi,0
879337,CGE,3,Polymeric Materials,Polymera material,0
879338,CGF,3,Coating Technology,Ytbehandlingsteknik,0
879339,CGG,3,Wood Chemistry and Pulp Technology,Träkemi och massateknologi,0
879340,CGH,3,Fibre Technology,Fiberteknologi,0
879341,CGI,3,Biocomposites,Biokompositer,0
885700,CGK,3,Fiberprocesser,Fiberprocesser,0
879312,CH,2,Gene Technology,Genteknologi,0
879347,CJB,3,Protein Engineering,Proteinvetenskap,0
879342,CJC,3,Nano Biotechnology,Nanobioteknologi,0
879309,CJ,2,Protein Science,Proteinvetenskap,0
879343,CJD,3,Systems Biology,Systembiologi,0
879344,CJE,3,Cellular and Clinical Proteomics,Cellulär och klinisk proteomik,0
879345,CJF,3,Affinity Proteomics,Affinitets-proteomik,0
879346,CJG,3,Protein Technology,Proteinteknologi,0
879347,CJH,3,Protein Engineering,Proteinvetenskap,0
879348,CJI,3,Drug Discovery and Development,Läkemedelsutveckling,0
879311,CK,2,Industrial Biotechnology,Industriell bioteknologi,0
879310,CL,2,Theoretical Chemistry and Biology,Teoretisk kemi och biologi,0
879313,CM,2,Engineering Pedagogics,Ingenjörspedagogik,0
879223,ECS,1,School of Electrical Engineering and Computer Science (EECS),Skolan för elektroteknik och datavetenskap (EECS),0
879223,EECS,1,School of Electrical Engineering and Computer Science (EECS),Skolan för elektroteknik och datavetenskap (EECS),0
6023,ITM,1,School of Industrial Engineering and Management (ITM),Skolan för industriell teknik och management (ITM),0
879223,J,1,School of Electrical Engineering and Computer Science (EECS),Skolan för elektroteknik och datavetenskap (EECS),0
879238,JCP,3,"Centre for High Performance Computing, PDC","Parallelldatorcentrum, PDC",0
879239,JC,2,Centres,Centra,0
879235,JE,3,Space and Plasma Physics,Rymd- och plasmafysik,0
879305,JHF,3,"Communication Systems, CoS","Kommunikationssystem, CoS",0
882650,JH,2,Computer Science,Datavetenskap,0
879232,JHK,3,"Software and Computer systems, SCS","Programvaruteknik och datorsystem, SCS",0
879231,JHP,3,Network and Systems Engineering,Nätverk och systemteknik,0
879225,JHS,3,Computational Science and Technology (CST),Beräkningsvetenskap och beräkningsteknik (CST),0
879237,JHT,3,"Theoretical Computer Science, TCS","Teoretisk datalogi, TCS",0
879228,JJD,3,Fusion Plasma Physics,Fusionsplasmafysik,0
882654,JJ,2,Electrical Engineering,Elektroteknik,0
879235,JJE,3,Space and Plasma Physics,Rymd- och plasmafysik,0
879249,JJG,3,Electronics and Embedded systems,Elektronik och inbyggda system,0
879226,JJI,3,Electromagnetic Engineering,Elektroteknisk teori och konstruktion,0
879227,JJN,3,Electric Power and Energy Systems,Elkraftteknik,0
879229,JMA,3,"Media Technology and Interaction Design, MID","Medieteknik och interaktionsdesign, MID",0
882651,JR,2,Intelligent systems,Intelligenta system,0
882655,JRC,3,Collaborative Autonomous Systems,Collaborative Autonomous Systems,0
879233,JRL,3,Decision and Control Systems (Automatic Control),Reglerteknik,0
879236,JRO,3,Information Science and Engineering,Teknisk informationsvetenskap,0
879230,JRQ,3,Micro and Nanosystems,Mikro- och nanosystemteknik,0
879234,JRR,3,"Robotics, Perception and Learning, RPL","Robotik, perception och lärande, RPL",0
879302,JRT,3,"Speech, Music and Hearing, TMH","Tal, musik och hörsel, TMH",0
6023,M,1,School of Industrial Engineering and Management (ITM),Skolan för industriell teknik och management (ITM),0
6030,ME,2,Industrial Economics and Management (Dept.),Industriell ekonomi och organisation (Inst.),0
6032,MEJ,3,Industrial Economics and Management,Industriell ekonomi och organisation,1
883958,MEW,3,"Accounting, Finance & Changes","Redovisning, Finansiering & Förändring",1
883956,MEY,3,Management & Technology,Management & Teknologi,0
883957,MEZ,3,"Sustainability, Industrial Dynamics & Entrepreneurship","Hållbarhet, Industriell dynamik & entreprenörskap",0
6038,MF,2,Machine Design (Dept.),Maskinkonstruktion (Inst.),0
6041,MFC,3,Mechatronics,Mekatronik,0
6040,MFD,3,Internal Combustion Engines,Förbränningsmotorteknik,0
6039,MFG,3,Integrated Product Development,Integrerad produktutveckling,0
6046,MFGG,3,Product and Service Design,Produkt- och tjänstedesign,0
876350,MFYB,3,"Integrated Transport Research Lab, ITRL","Integrated Transport Research Lab, ITRL",0
883600,MGH,3,Manufacturing and Metrology Systems,Tillverkning och mätsystem,0
6061,MG,2,Production Engineering,Industriell produktion,0
883608,MGI,3,Digital Smart Production,Digital smart produktion,0
883601,MGN,3,Sustainable Production Systems,Hållbara produktionssystem,0
6024,MJE,2,Energy Technology,Energiteknik,0
6025,MJEB,3,Applied Thermodynamics and Refrigeration,Tillämpad termodynamik och kylteknik,0
6026,MJEC,3,Heat and Power Technology,Kraft- och värmeteknologi,0
883952,MJEM,3,Energy Systems,Energisystem,0
880900,ML,2,Sustainable production development,Hållbar produktionsutveckling (ML),0
880900,MLE,2,Sustainable production development,Hållbar produktionsutveckling (ML),0
883955,MLF,3,Avancerad underhållsteknik och produktionslogistik,Avancerad underhållsteknik och produktionslogistik,0
883960,MOB,3,Learning in Stem,Lärande i Stem,0
879306,MO,2,Learning,Lärande,0
883959,MOD,3,Digital Learning,Digitalt lärande,0
883961,MOE,3,Language and communication,Språk och kommunikation,0
883962,MOG,3,House of Science,Vetenskapens hus,0
6048,MV,2,Materials Science and Engineering,Materialvetenskap,0
883963,MVD,3,Process,Processer,0
883964,MVE,3,Structures,Strukturer,0
883965,MVF,3,Properties,Egenskaper,0
6091,S,1,School of Engineering Sciences (SCI),Skolan för teknikvetenskap (SCI),0
6115,SF,2,Mathematics (Dept.),Matematik (Inst.),0
6116,SFB,3,Mathematics (Div.),Matematik (Avd.),0
6117,SFC,3,Mathematical Statistics,Matematisk statistik,0
6118,SFD,3,Optimization and Systems Theory,Optimeringslära och systemteori,0
11800,SFE,3,"Numerical Analysis, NA","Numerisk analys, NA",0
6128,SH,2,Physics,Fysik,0
6131,SHD,3,Nuclear Physics,Kärnfysik,0
6132,SHE,3,Nuclear Power Safety,Kärnkraftssäkerhet,0
6133,SHG,3,Particle and Astroparticle Physics,Partikel- och astropartikelfysik,0
880050,SHH,3,Nuclear Engineering,Kärnenergiteknik,0
6130,SHL,3,Physics of Medical Imaging,Medicinsk bildfysik,0
876906,SHO,3,Condensed Matter Theory,Kondenserade materiens teori,0
6108,SK,2,Applied Physics,Tillämpad fysik,0
6109,SKD,3,Biomedical and X-ray Physics,Biomedicinsk fysik och röntgenfysik,0
880054,SKE,3,Biophysics,Biofysik,0
880051,SKF,3,Quantum and Biophotonics,Kvant- och biofotonik,0
6112,SKI,3,Laser Physics,Laserfysik,0
6113,SKK,3,Nanostructure Physics,Nanostrukturfysik,0
876651,SKO,3,Quantum Nano Photonics,Kvantnanofotonik,1
880052,SKQ,3,Materials and Nanophysics,Material- och nanofysik,0
880053,SKR,3,Photonics,Fotonik,0
882656,SM,2,Engineering Mechanics,Teknisk mekanik,0
882657,SMA,3,Vehicle Engineering and Solid Mechanics,Farkostteknik och Solidmekanik,0
882672,SMAA,4,Solid Mechanics,Hållfasthetslära,0
882658,SMB,3,Fluid Mechanics and Engineering Acoustics,Strömningsmekanik och Teknisk Akustik,0
882666,SMBA,4,Marcus Wallenberg Laboratory MWL,Marcus Wallenberg Laboratoriet MWL,0
